반복(Epoch): 5000, 트레이닝 데이터 정확도: 0.703125, 손실 함수(loss): 0.875766, 테스트 정확도: 0.647000
반복(Epoch): 5100, 트레이닝 데이터 정확도: 0.773438, 손실 함수(loss): 0.770870, 테스트 정확도: 0.637000
반복(Epoch): 5200, 트레이닝 데이터 정확도: 0.695312, 손실 함수(loss): 0.901499, 테스트 정확도: 0.636000
반복(Epoch): 5300, 트레이닝 데이터 정확도: 0.695312, 손실 함수(loss): 0.843550, 테스트 정확도: 0.608000
반복(Epoch): 5400, 트레이닝 데이터 정확도: 0.617188, 손실 함수(loss): 1.331571, 테스트 정확도: 0.577000
반복(Epoch): 5500, 트레이닝 데이터 정확도: 0.710938, 손실 함수(loss): 0.941355, 테스트 정확도: 0.646000
반복(Epoch): 5600, 트레이닝 데이터 정확도: 0.617188, 손실 함수(loss): 1.189708, 테스트 정확도: 0.657000
반복(Epoch): 5700, 트레이닝 데이터 정확도: 0.625000, 손실 함수(loss): 1.039337, 테스트 정확도: 0.647000
반복(Epoch): 5800, 트레이닝 데이터 정확도: 0.703125, 손실 함수(loss): 1.072791, 테스트 정확도: 0.635000
반복(Epoch): 5900, 트레이닝 데이터 정확도: 0.695312, 손실 함수(loss): 0.907839, 테스트 정확도: 0.594000
반복(Epoch): 6000, 트레이닝 데이터 정확도: 0.539062, 손실 함수(loss): 1.196284, 테스트 정확도: 0.583000
반복(Epoch): 6100, 트레이닝 데이터 정확도: 0.648438, 손실 함수(loss): 0.999623, 테스트 정확도: 0.570000
반복(Epoch): 6200, 트레이닝 데이터 정확도: 0.695312, 손실 함수(loss): 0.881293, 테스트 정확도: 0.647000
반복(Epoch): 6300, 트레이닝 데이터 정확도: 0.718750, 손실 함수(loss): 1.003936, 테스트 정확도: 0.647000
반복(Epoch): 6400, 트레이닝 데이터 정확도: 0.601562, 손실 함수(loss): 1.141227, 테스트 정확도: 0.608000
반복(Epoch): 6500, 트레이닝 데이터 정확도: 0.710938, 손실 함수(loss): 0.967247, 테스트 정확도: 0.607000
반복(Epoch): 6600, 트레이닝 데이터 정확도: 0.710938, 손실 함수(loss): 0.975132, 테스트 정확도: 0.629000
반복(Epoch): 6700, 트레이닝 데이터 정확도: 0.710938, 손실 함수(loss): 0.963385, 테스트 정확도: 0.630000
반복(Epoch): 6800, 트레이닝 데이터 정확도: 0.695312, 손실 함수(loss): 0.985338, 테스트 정확도: 0.626000
반복(Epoch): 6900, 트레이닝 데이터 정확도: 0.640625, 손실 함수(loss): 0.989499, 테스트 정확도: 0.606000
반복(Epoch): 7000, 트레이닝 데이터 정확도: 0.656250, 손실 함수(loss): 1.034275, 테스트 정확도: 0.611000
반복(Epoch): 7100, 트레이닝 데이터 정확도: 0.742188, 손실 함수(loss): 0.806550, 테스트 정확도: 0.559000
반복(Epoch): 7200, 트레이닝 데이터 정확도: 0.625000, 손실 함수(loss): 1.044702, 테스트 정확도: 0.626000
